Position,DriverName,TeamName,Points
1,Carlos Sainz,Scuderia Ferrari,25
2,Charles Leclerc,Scuderia Ferrari,19
3,Lando Norris,McLaren F1 Team,15
4,Oscar Piastri,McLaren F1 Team,12
5,Sergio Perez,Red Bull Racing,10
6,Lance Stroll,Aston Martin Aramco Cognizant Formula One Team,8
7,Yuki Tsunoda,AlphaTauri Racing,6
8,Fernando Alonso,Aston Martin Aramco Cognizant Formula One Team,4
9,Nico Hulkenberg,,2
10,Kevin Magnussen,Haas F1 Team,1
11,Alexander Albon,Williams Racing,0
12,Daniel Ricciardo,,0
13,Pierre Gasly,Alpine F1 Team,0
14,Valtteri Bottas,Alfa Romeo Racing,0
15,Zhou Guanyu,Alfa Romeo Racing,0
16,Esteban Ocon,Alpine F1 Team,0
17,George Russell,Mercedes-AMG Petronas Formula One Team,0
