Position,DriverName,TeamName,Points
1,Max Verstappen,Red Bull Racing,25
2,Sergio Perez,Red Bull Racing,18
3,Charles Leclerc,Scuderia Ferrari,16
4,Oscar Piastri,McLaren F1 Team,12
5,Fernando Alonso,Aston Martin Aramco Cognizant Formula One Team,10
6,George Russell,Mercedes-AMG Petronas Formula One Team,8
7,Oliver Bearman,,6
8,Lando Norris,McLaren F1 Team,4
9,Lewis Hamilton,Mercedes-AMG Petronas Formula One Team,2
10,Nico Hulkenberg,,1
11,Alexander Albon,Williams Racing,0
12,Kevin Magnussen,Haas F1 Team,0
13,Esteban Ocon,Alpine F1 Team,0
14,Logan Sargeant,Williams Racing,0
15,Yuki Tsunoda,AlphaTauri Racing,0
16,Daniel Ricciardo,,0
17,Valtteri Bottas,Alfa Romeo Racing,0
18,Zhou Guanyu,Alfa Romeo Racing,0
