Position,DriverName,TeamName,Points
1,Max Verstappen,Red Bull Racing,8
2,Charles Leclerc,Scuderia Ferrari,7
3,Sergio Perez,Red Bull Racing,6
4,Daniel Ricciardo,,5
5,Carlos Sainz,Scuderia Ferrari,4
6,Oscar Piastri,McLaren F1 Team,3
7,Nico Hulkenberg,,2
8,Yuki Tsunoda,AlphaTauri Racing,1
9,Pierre Gasly,Alpine F1 Team,0
10,Logan Sargeant,Williams Racing,0
11,Zhou Guanyu,Alfa Romeo Racing,0
12,George Russell,Mercedes-AMG Petronas Formula One Team,0
13,Alexander Albon,Williams Racing,0
14,Valtteri Bottas,Alfa Romeo Racing,0
15,Esteban Ocon,Alpine F1 Team,0
16,Lewis Hamilton,Mercedes-AMG Petronas Formula One Team,0
17,Fernando Alonso,Aston Martin Aramco Cognizant Formula One Team,0
18,Kevin Magnussen,Haas F1 Team,0
